Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
B02,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,2195,ddPCR Supermix for Probes (no dUTP),43900,,,2238,2153,13504,2473,2411,48,11093,2425,174,15977,,,,,,,,0.0896,,,0.0935,0.0856,8.22,,,8.55,7.89,1,1,2174,3232.5,1749.7,3003,,,,,2217,2173,,,,,,,0.0916,0.0876,,,8.39,8.05
B03,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1324,ddPCR Supermix for Probes (no dUTP),26480,,,1350,1298,11002,5288,2134,27,8868,5261,161,16290,,,,,,,,0.126,,,0.132,0.121,11.23,,,11.69,10.76,1,1,2061,3086.1,1684.3,2631.1,,,,,1337,1310,,,,,,,0.1295,0.1235,,,11.47,10.99
B04,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1492,ddPCR Supermix for Probes (no dUTP),29840,,,1521,1464,11836,4634,17,13,11819,4621,0,16470,,,,,,,,0.0014,,,0.002,0.0009,0.14,,,0.2,0.09,1,1,2127,3223.6,1723.1,2801.4,,,,,1507,1477,,,,,,,0.0017,0.00118,,,0.17,0.117
B05,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1572,ddPCR Supermix for Probes (no dUTP),31440,,,1603,1541,11661,4160,2462,27,9199,4133,194,15821,,,,,,,,0.128,,,0.134,0.123,11.36,,,11.8,10.92,1,1,2120,3167.7,1721.3,2787.4,,,,,1587,1556,,,,,,,0.131,0.1253,,,11.58,11.13
B06,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,973,ddPCR Supermix for Probes (no dUTP),19460,,,993,953,9454,7350,7,7,9447,7343,0,16804,,,,,,,,0.001,,,0.0015,0.0005,0.1,,,0.15,0.05,1,1,2172,3275.8,1755.4,2610.8,,,,,983,963,,,,,,,0.00128,0.00074,,,0.128,0.074
B07,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1711,ddPCR Supermix for Probes (no dUTP),34220,,,1743,1679,12825,3910,24,8,12801,3902,0,16735,,,,,,,,0.00132,,,0.00178,0.00086,0.131,,,0.177,0.086,1,1,2363,3656.2,1861.7,3236.9,,,,,1727,1694,,,,,,,0.00155,0.00108,,,0.155,0.108
B08,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1217,ddPCR Supermix for Probes (no dUTP),24340,,,1241,1193,10744,5924,11,9,10733,5915,0,16668,,,,,,,,0.0012,,,0.0017,0.0006,0.12,,,0.17,0.06,1,1,2169,3278.2,1757.2,2737.6,,,,,1229,1205,,,,,,,0.00142,0.0009,,,0.142,0.09
B09,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1652,ddPCR Supermix for Probes (no dUTP),33040,,,1683,1621,12493,4068,2919,35,9574,4033,221,16561,,,,,,,,0.14,,,0.146,0.134,12.28,,,12.72,11.84,1,1,2193,3332.3,1791.4,2953.8,,,,,1668,1636,,,,,,,0.1429,0.137,,,12.5,12.05
B10,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1682,ddPCR Supermix for Probes (no dUTP),33640,,,1715,1649,11810,3717,2167,29,9643,3688,170,15527,,,,,,,,0.1067,,,0.1116,0.1017,9.64,,,10.04,9.24,1,1,2099,3140,1732.7,2803.1,,,,,1699,1665,,,,,,,0.1092,0.1041,,,9.84,9.43
B11,Absolute Quantification,ABS,,Ch2Reference,TBP,OK,1011,ddPCR Supermix for Probes (no dUTP),20220,,,1033,990,9094,6679,1414,26,7680,6653,108,15773,,,,,,,,0.111,,,0.118,0.105,10,,,10.5,9.5,1,1,2176,3312.3,1775,2661.3,,,,,1022,1000,,,,,,,0.1146,0.1082,,,10.28,9.77
