Chip Run Info,H:\Deleted from D_AT30\DX3\HER2\Breast cancer gDNA cell line spike-ins\1482019095 48-770 uniplex HER2 RNaseP BC gDNA 20-10-2009\ChipRun.bml,1482019095,48.770,Default-10min-Hot-Start,ROX,FAM-MGB : VIC-TAMRA,10/20/2009 12:12:18 PM,01:33:33,BIOMARK052
Application Version,4.0.1
Application Build,20130423.0844
Export Type,Detailed Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,VIC-TAMRA,User
Chamber and Panel,Chamber and Panel,Sample,Sample,Sample,FAM-MGB,FAM-MGB,VIC-TAMRA,VIC-TAMRA,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Ct,Defined
Chamber ID,Panel ID,Name,Type,rConc.,Name,Type,Name,Type,Value,Quality,Call,Target,Threshold,Value,Quality,Call,Target,Threshold,Comments
P01-X48-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X49-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,28.9054100929485,0.95,Pass,Hit,0.1,
P01-X50-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X51-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X52-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X53-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X54-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.1934723867361,0.97,Pass,Hit,0.1,
P01-X55-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X56-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X57-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X58-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X59-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X60-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X61-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X62-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X63-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X64-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X65-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X66-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X67-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.8932897155473,0.96,Pass,Hit,0.1,
P01-X68-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,29.2194417178135,0.96,Pass,Hit,0.1,
P01-X69-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X70-Y02,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X01-Y03,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
P01-X02-Y03,1,Promega,Unknown,200,Qin HER2,Test,RNaseP,Test,999,0,Fail,No Hit,0.1,999,0,Fail,No Hit,0.1,
